"SCHID","Y","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","V1","CNTSTUID"
84000007,415.97,1,1,2,2,4,5,5,300,-0.0621,-0.9296,0.08,9,12,43,2,33,0,1,84000527
84000007,434.418,1,1,1,3,4,2,2,275,0.2906,1.4064,-0.7249,9,12,43,2,33,0,1,84001399
84000007,373.029,1,1,2,4,3,6,6,300,-0.0099,0.7923,1.1012,9,12,43,2,33,0,1,84002659
84000007,316.878,1,2,2,1,4,2,5,150,0.4906,-1.3158,-1.0125,9,12,43,2,33,0,1,84003764
84000007,338.692,1,1,2,2,4,4,4,300,0.6642,-0.5093,-1.0012,9,12,43,2,33,0,1,84005639
84000007,561.551,1,2,2,1,2,0,4,350,-0.8828,-0.6527,-1.0539,9,12,43,2,33,0,1,84005928
84000007,509.165,1,1,1,6,4,5,6,275,1.5611,5.2563,2.5971,9,12,43,2,33,0,1,84006387
84000007,300.901,1,1,2,2,3,2,2,275,-0.5064,-0.0295,-1.2526,9,12,43,2,33,0,1,84006571
84000007,493.185,1,1,1,6,1,6,6,275,-1.3612,2.0032,1.6702,9,12,43,2,33,0,1,84007870
84000007,579.663,1,1,1,4,3,6,6,275,-0.3381,0.3769,0.7832,9,12,43,2,33,0,1,84008749
84000007,416.385,1,1,2,2,3,4,4,300,-0.3381,0.9682,-0.2775,9,12,43,2,33,0,1,84009272
84000007,491.783,1,1,1,3,3,6,6,55,0.0248,0.8843,0.4945,9,12,43,2,33,0,1,84009775
84000007,490.059,1,1,1,4,3,6,6,300,-0.6334,0.6919,0.961,9,12,43,2,33,0,1,84010673
84000007,309.795,1,1,2,3,2,2,6,175,-0.2953,-0.0363,0.4041,9,12,43,2,33,0,1,84011126
84000008,489.786,1,1,1,3,3,4,4,240,-0.3381,0.7037,0.705,14.8739796298586,11,63,1,13,0,1,84002012
84000008,632.483,1,1,1,4,3,6,6,240,-0.3381,0.807,1.1066,14.8421754095233,11,63,1,13,0,1,84005332
84000008,512.947,1,1,1,3,4,6,6,220,1.5611,1.2555,1.4781,14.8557595054421,11,63,1,13,0,1,84008188
84000008,453.52,1,1,2,3,2,2,4,240,-0.6981,0.5585,-0.4228,14.8755783245353,11,63,1,13,0,1,84009522
84000008,437.589,1,1,2,3,2,2,4,240,-1.3432,0.5148,-0.2323,14.8601558554698,11,63,1,13,0,1,84010559
84000008,589.377,2,1,2,5,3,5,5,200,-0.3381,0.1674,-0.1781,14.8618604966932,11,63,1,13,0,1,84006406
84000008,596.424,2,1,1,5,4,6,6,240,0.7934,0.0857,0.3456,14.8691632629849,11,63,1,13,0,1,84007300
84000008,508.893,2,1,2,2,4,5,6,240,-0.2387,-0.3623,0.6769,14.8602691478232,11,63,1,13,0,1,84007573
84000008,588.664,2,1,2,2,3,4,4,240,0.2947,0.7268,0.1143,14.8881336286562,11,63,1,13,0,1,84010038
84000009,412.479,1,1,1,3,3,5,5,0,-0.3381,-0.3582,0.166,6.41315857883236,13.8011851584758,66,1,13,0,1,84005193
84000009,350.187,1,2,2,3,4,2,4,250,-0.2387,-1.2395,-0.691,6.41336392980964,13.7554685165467,66,1,13,0,1,84010926
84000009,508.477,2,1,2,1,4,5,5,45,1.5611,-0.9747,-0.3086,6.42064721233377,13.7891856732145,66,1,13,0,1,84004271
84000009,432.11,2,1,2,2,3,1,2,0,0.514,-0.7221,-1.5691,6.40890824886304,13.7818544479902,66,1,13,0,1,84000188
84000009,571.865,1,1,2,3,3,4,4,50,0.514,-1.0816,-1.1089,6.41256218092917,13.7708856350592,66,1,13,0,1,84000991
84000009,416.027,1,2,2,3,3,5,5,225,-1.3147,-0.7682,-0.4806,6.41962378371207,13.7704157835425,66,1,13,0,1,84003646
