"V1","GENDER","ST011Q06","ST011Q07","ST013Q01","ST034Q01","MISCED","HISCED","MMINS","BELONG","HOMEPOS","ESCS","SC048Q01","SC048Q02","SC048Q03","SC061Q07","CLSIZE","treat","Y","CNTSTUID","SCHID"
1,1,1,2,5,4,6,6,75,0.6642,-0.2071,0.6306,7,8,62,3,23,0,450.331,84010756,84000006
1,1,1,1,5,3,6,6,270,-0.0699,4.187,2.1215,7,8,62,3,23,0,548.551,84000938,84000006
1,1,1,1,5,3,6,6,450,-0.9678,2.7577,1.5962,7,8,62,3,23,0,591.228,84003517,84000006
1,1,1,1,2,3,5,5,NA,-0.3381,1.2018,0.7599,7,8,62,3,23,0,489.664,84004812,84000006
1,1,1,2,1,3,4,4,600,-0.3381,-0.8373,-0.4192,7,8,62,3,23,0,413.561,84010427,84000006
1,2,1,2,1,3,4,5,270,-0.3381,-0.8519,0.1085,7,8,62,3,23,0,638.361,84009044,84000006
1,2,2,2,1,3,4,4,325,-0.3381,-1.0661,-1.0074,9,12,43,2,33,0,444.885,84000683,84000007
1,2,2,1,2,2,5,5,60,-0.2511,0.9332,0.8472,9,12,43,2,33,0,328.889,84001491,84000007
1,2,1,2,3,2,5,5,300,-1.1407,0.076,-0.7283,9,12,43,2,33,0,416.688,84001788,84000007
1,2,1,1,3,3,4,5,55,-0.4725,0.0624,-0.382,9,12,43,2,33,0,492.996,84002411,84000007
1,2,1,2,3,1,4,4,300,-3.1297,0.0124,-0.9376,9,12,43,2,33,0,456.936,84003163,84000007
1,2,1,2,2,3,5,6,300,-0.3381,0.0796,0.8186,9,12,43,2,33,0,596.098,84003262,84000007
1,2,1,1,3,1,6,6,60,-2.0732,-0.6951,0.4513,9,12,43,2,33,0,407.743,84003462,84000007
1,2,1,2,1,4,4,5,275,-0.0621,-0.3764,-0.378,9,12,43,2,33,0,428.419,84004048,84000007
1,2,1,1,5,3,4,4,275,-0.3381,1.1584,0.5622,9,12,43,2,33,0,449.007,84004561,84000007
1,2,1,1,5,3,2,2,250,-0.3381,-0.5015,-0.9095,9,12,43,2,33,0,485.41,84004890,84000007
1,2,1,1,4,4,4,4,60,0.1157,0.9947,0.254,9,12,43,2,33,0,525.643,84005711,84000007
1,2,1,2,1,3,4,4,600,0.2526,-1.2502,-1.5421,9,12,43,2,33,0,477.551,84006509,84000007
1,2,1,1,3,3,5,5,300,0.1052,0.2792,-0.137,9,12,43,2,33,0,409.893,84008586,84000007
1,2,1,2,1,4,4,4,275,0.6642,-0.6541,-1.1371,9,12,43,2,33,0,423.38,84009011,84000007
